domain,image_path,mask_path,native_width,native_height,organ,present,area_pct,median_diameter_px,survival_01,survival_02,survival_03,survival_04,survival_05,survival_06,survival_07,survival_08,survival_09,survival_10,survival_11,survival_12,survival_13,survival_14,survival_15,survival_16,survival_17,survival_18,survival_19,survival_20,survival_21,survival_22,survival_23,survival_24,survival_25,survival_26,survival_27,survival_28,survival_29,survival_30,survival_31,survival_32,survival_33,survival_34,survival_35,survival_36,survival_37,survival_38,survival_39,survival_40,survival_41,survival_42,survival_43,survival_44,survival_45,survival_46,survival_47,survival_48,survival_49,survival_50,survival_51,survival_52,survival_53,survival_54,survival_55,survival_56,survival_57,survival_58,survival_59,survival_60,survival_61,survival_62,survival_63,survival_64,retention_s02,retention_s04,retention_s08,retention_s16,retention_s32
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (1).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (1).png,512,512,Head,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (1).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (1).png,512,512,Stem,True,0.732421875,8.246211251235321,1.0,1.0,0.9538461538461539,0.9538461538461539,0.9076923076923077,0.882051282051282,0.764102564102564,0.6,0.16923076923076924,0.16923076923076924,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9948717948717949,0.8666666666666667,0.47692307692307695,0.0
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (1).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (1).png,512,512,Leaf,True,43.26133728027344,11.661903789690601,1.0,1.0,0.9823247453565009,0.9823247453565009,0.9180147793089675,0.8828639904134212,0.7833033752746156,0.749850209706411,0.6271220291591771,0.6271220291591771,0.524266027561414,0.49850209706411025,0.42061114439784303,0.4040343519073297,0.3394248052726183,0.3151587777112043,0.2605352506490913,0.23636908328340323,0.189035350509287,0.17815058917515478,0.14280007988815657,0.13151587777112042,0.10085879768324346,0.09486718593968445,0.07159976033553025,0.06580786898342321,0.050029958058717794,0.046534851208308366,0.040842820051927305,0.03854603555022968,0.0347513481126423,0.03195526263231476,0.02456560814859197,0.023267425604154183,0.019772318753744758,0.018673856600758938,0.015777910924705412,0.014479728380267625,0.011983223487118035,0.01128420211703615,0.009286998202516477,0.008188536049530657,0.005692031156381066,0.0040942680247653285,0.0027960854803275414,0.002097064110245656,0.0012981825444377871,0.00109846215298582,0.000798881565807869,0.0005991611743559018,0.0002995805871779509,0.00019972039145196724,9.986019572598362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990013980427401,0.9924106251248253,0.9294987018174555,0.7404633513081685,0.6150389454763331
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (10).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (10).png,512,512,Head,True,5.403900146484375,16.1245154965971,1.0,1.0,0.978978978978979,0.978978978978979,0.9294294294294294,0.9174174174174174,0.8993993993993994,0.8798798798798799,0.8333333333333334,0.8333333333333334,0.7762762762762763,0.7492492492492493,0.6951951951951952,0.6756756756756757,0.5645645645645646,0.5255255255255256,0.45795795795795796,0.4189189189189189,0.3483483483483483,0.3333333333333333,0.26126126126126126,0.24174174174174173,0.2057057057057057,0.19369369369369369,0.17717717717717718,0.16066066066066065,0.12012012012012012,0.0945945945945946,0.06606606606606606,0.05105105105105105,0.03153153153153153,0.02702702702702703,0.013513513513513514,0.010510510510510511,0.003003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.987987987987988,0.978978978978979,0.8963963963963963,0.35435435435435436
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (10).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (10).png,512,512,Stem,True,1.18408203125,6.0,1.0,1.0,0.9331619537275064,0.9331619537275064,0.6760925449871465,0.609254498714653,0.33676092544987146,0.2982005141388175,0.2185089974293059,0.2185089974293059,0.14652956298200515,0.11311053984575835,0.028277634961439587,0.005141388174807198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948586118251928,0.9640102827763496,0.7660668380462725,0.20565552699228792,0.0
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (10).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (10).png,512,512,Leaf,True,63.20610046386719,18.439088914585774,1.0,1.0,0.9708075186390843,0.9708075186390843,0.9264937519689174,0.9100073506248031,0.8670586999894991,0.8477370576499003,0.7893520949280689,0.7893520949280689,0.7317021946865484,0.7173159718576079,0.6748923658510974,0.6661766250131261,0.6189226084217159,0.6047464034442928,0.5582274493331933,0.5385907802163183,0.4895516118870104,0.4816759424551087,0.44817809513808676,0.43694214008190696,0.4105848997164759,0.40386432846791975,0.37918723091462775,0.37047149007665653,0.3434841961566733,0.3331933214323217,0.31481675942455106,0.3056809828835451,0.28814449228184397,0.2775385907802163,0.2555917252966502,0.24876614512233539,0.22345899401449124,0.2187335923553502,0.19510658405964507,0.18649585214743253,0.16738422765935104,0.15940354930169065,0.14564738002730232,0.1399768980363331,0.12916097868318807,0.1249606216528405,0.11582484511183451,0.111939514858763,0.10017851517378977,0.09566313136616612,0.0848472120130211,0.08033182820539746,0.06941089992649375,0.06657565893100914,0.06206027512338549,0.05954006090517694,0.05523469494907067,0.05344954321117295,0.050089257586894885,0.04935419510658406,0.04651895411109944,0.04546886485351255,0.04242360600651055,0.04147852567468235,0.03874829360495642,0.03717315971857608,0.9984248661136197,0.982778536175575,0.9510658405964507,0.9018166544156253,0.8361860758164444
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (100).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (100).png,512,512,Head,True,12.423324584960938,26.076809620810597,1.0,1.0,0.9956140350877193,0.9956140350877193,0.9842105263157894,0.9824561403508771,0.9728070175438597,0.9666666666666667,0.9456140350877194,0.9456140350877194,0.9114035087719298,0.9017543859649123,0.8850877192982456,0.874561403508772,0.8324561403508772,0.8192982456140351,0.7745614035087719,0.7535087719298246,0.718421052631579,0.7043859649122807,0.656140350877193,0.6403508771929824,0.593859649122807,0.5807017543859649,0.537719298245614,0.5210526315789473,0.47543859649122805,0.4535087719298246,0.4236842105263158,0.40350877192982454,0.3798245614035088,0.3570175438596491,0.3280701754385965,0.31491228070175437,0.26666666666666666,0.2517543859649123,0.21666666666666667,0.20526315789473684,0.17719298245614035,0.16666666666666666,0.1456140350877193,0.13859649122807016,0.12017543859649123,0.11052631578947368,0.09298245614035087,0.0868421052631579,0.07192982456140351,0.06578947368421052,0.05526315789473684,0.05,0.0412280701754386,0.035964912280701755,0.03070175438596491,0.02543859649122807,0.021052631578947368,0.017543859649122806,0.016666666666666666,0.014035087719298246,0.010526315789473684,0.0061403508771929825,0.0008771929824561404,0.0,0.0,0.0,1.0,0.9991228070175439,0.980701754385965,0.9350877192982456,0.756140350877193
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (100).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (100).png,512,512,Stem,True,2.9998779296875,8.0,1.0,1.0,0.9103139013452914,0.9103139013452914,0.7600896860986547,0.7163677130044843,0.6345291479820628,0.5964125560538116,0.3778026905829596,0.3778026905829596,0.1289237668161435,0.0795964125560538,0.028026905829596414,0.01905829596412556,0.002242152466367713,0.0011210762331838565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932735426008968,0.9394618834080718,0.7982062780269058,0.3710762331838565,0.0
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (100).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (100).png,512,512,Leaf,True,51.79595947265625,12.0,1.0,1.0,0.9728099396776807,0.9728099396776807,0.9020437561897903,0.8674709642567751,0.7968848473935356,0.7660934545781939,0.6543621139821734,0.6543621139821734,0.5508238048077789,0.5230935446115063,0.4565589268029171,0.4444044296389664,0.3891239758710723,0.37237777977851805,0.3273611236157378,0.3084541280273701,0.26784910416854235,0.25992617268389306,0.22787431349599352,0.2174304492662285,0.18780948951111912,0.18024669127577203,0.16016926262717204,0.15512739713694068,0.1382011344197353,0.132529035743225,0.11920410551904205,0.11290177365625281,0.10272800936346448,0.09696587737462861,0.08571171333393356,0.08112001440532997,0.06914558386603042,0.06590438462231026,0.060142252633474384,0.057441253263707574,0.0516791212748717,0.04870802196812821,0.044656522913477985,0.04096515710813001,0.03727379130278203,0.03466282524534078,0.03151165931394616,0.030431259566039436,0.02610966057441253,0.024669127577203565,0.022058161519762313,0.020527595210227786,0.01773656252813541,0.016296029530926442,0.014495363284415233,0.01386513009813631,0.012604663725578464,0.01179436391464842,0.010623930854416134,0.00972359773116053,0.009273431169532727,0.008463131358602683,0.007472764923021518,0.007202664986044836,0.006572431799765913,0.006122265238138111,0.9973890339425587,0.9848744035293059,0.930764382821644,0.8303772395786441,0.7690645538849374
Arvalis,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (101).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (101).png,512,512,Head,True,15.811538696289062,24.73863375370596,1.0,1.0,0.9817265280403277,0.9817265280403277,0.9609325771896661,0.9521109010712036,0.931316950220542,0.925645872715816,0.8890989287964713,0.8890989287964713,0.8557025834908633,0.8418399495904222,0.8128544423440454,0.798361688720857,0.7662255828607435,0.7511027095148078,0.7233774417139256,0.702583490863264,0.665406427221172,0.6559546313799622,0.6225582860743542,0.6049149338374291,0.5488342785129174,0.5412728418399496,0.4952741020793951,0.47195967233774416,0.428481411468179,0.4064272211720227,0.3742911153119093,0.3516068052930057,0.3207309388783869,0.31190926275992437,0.2867044738500315,0.27851291745431633,0.24448645242596093,0.23251417769376181,0.1890359168241966,0.1720226843100189,0.148708254568368,0.13799621928166353,0.11216131064902331,0.1033396345305608,0.0888468809073724,0.08380592312539382,0.07687460617517328,0.07246376811594203,0.06490233144297416,0.0573408947700063,0.04788909892879647,0.04095778197857593,0.0315059861373661,0.026465028355387523,0.005040957781978576,0.003780718336483932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987397605545053,0.9918084436042848,0.9703843730308759,0.9111531190926276,0.6912413358538122
